-1, -1, 1, 1, -1, -1, -1, 1, -1, -1, 
1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 
1, -1, 1, 1, -1, 1, 1, 1, -1, 1, 
1, -1, 1, -1, 1, -1, 1, 1, 1, 1, 
-1, -1, -1, 1, 1, 1, -1, -1, 1, -1, 
-1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 
1, -1, -1, 1, 1, -1, 1, 1, -1, -1, 
1, -1, 1, -1, -1, -1, -1, 1, 1, -1, 
1, 1, 1, -1, -1, -1, -1, -1, 1, -1, 
-1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 
1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 

1, 1, 1, -1, 1, 1, -1, -1, -1, 1, 
-1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 
1, 1, 1, -1, -1, 1, 1, -1, 1, 1, 
-1, -1, 1, 1, 1, -1, -1, 1, 1, -1, 
1, -1, 1, 1, 1, 1, -1, 1, 1, -1, 
-1, 1, -1, 1, 1, 1, -1, -1, -1, -1, 
1, 1, 1, 1, -1, 1, -1, -1, 1, 1, 
1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 
1, -1, -1, 1, 1, -1, -1, 1, -1, -1, 
1, 1, 1, -1, 1, 1, 1, -1, -1, -1, 

-1, 1, 1, -1, -1, -1, 1, -1, 1, 1, 
1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 
1, 1, 1, 1, -1, -1, -1, 1, 1, -1, 
1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 
-1, -1, 1, 1, 1, -1, 1, -1, 1, -1, 
1, 1, -1, -1, 1, 1, 1, -1, -1, 1, 
-1, 1, -1, 1, 1, 1, 1, 1, -1, -1, 
-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 
1, 1, -1, 1, -1, -1, -1, 1, 1, 1, 
-1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 

1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 
1, 1, 1, -1, 1, 1, 1, 1, -1, 1, 
1, 1, -1, -1, 1, -1, -1, -1, 1, -1, 
-1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 
1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 
-1, 1, -1, -1, 1, 1, 1, -1, -1, 1, 
-1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 
1, 1, -1, 1, -1, -1, 1, -1, 1, -1, 
-1, -1, 1, 1, -1, -1, -1, 1, 1, -1, 
1, 1, -1, -1, -1, 1, 1, 1, -1, -1, 

-1, 1, 1, -1, -1, -1, -1, 1, -1, -1, 
-1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 
-1, -1, 1, 1, 1, 1, 1, -1, 1, -1, 
1, -1, -1, -1, 1, -1, 1, 1, 1, -1, 
1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 
1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 
-1, -1, 1, -1, -1, -1, 1, -1, 1, -1, 
-1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 
-1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 
-1, 1, 1, -1, -1, 1, -1, 1, 1, -1, 

-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
1, 1, -1, 1, 1, -1, -1, 1, -1, -1, 
1, 1, 1, -1, -1, -1, -1, 1, -1, -1, 
-1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 
-1, -1, -1, 1, 1, -1, 1, 1, -1, 1, 
-1, 1, 1, -1, 1, -1, 1, -1, 1, 1, 
-1, -1, 1, 1, -1, -1, -1, 1, 1, -1, 
1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 
1, 1, -1, 1, -1, -1, 1, 1, 1, 1, 
-1, -1, -1, 1, 1, -1, -1, -1, 1, -1, 

1, -1, -1, 1, 1, 1, -1, 1, 1, -1, 
1, -1, 1, 1, 1, 1, -1, 1, -1, 1, 
-1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 
1, -1, 1, 1, 1, 1, -1, 1, -1, 1, 
1, -1, 1, -1, -1, 1, -1, -1, -1, -1, 
1, 1, -1, -1, 1, -1, 1, 1, 1, 1, 
1, -1, 1, 1, -1, -1, -1, -1, 1, -1, 
1, -1, -1, -1, 1, -1, 1, -1, -1, 1, 
1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 
1, 1, -1, 1, -1, 1, 1, 1, -1, -1, 

1, 1, 1, -1, 1, -1, 1, 1, -1, -1, 
1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 
1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 
1, 1, -1, -1, -1, -1, 1, 1, 1, 1, 
-1, 1, 1, -1, 1, -1, -1, -1, -1, 1, 
-1, -1, -1, -1, -1, 1, 1, 1, -1, -1, 
1, 1, 1, 1, 1, 1, -1, -1, -1, 1, 
-1, -1, 1, 1, -1, -1, 1, 1, -1, 1, 
-1, -1, 1, -1, -1, -1, 1, -1, -1, 1, 
1, 1, -1, 1, 1, 1, -1, -1, 1, -1, 

-1, -1, -1, 1, 1, 1, 1, 1, -1, 1, 
1, 1, -1, -1, -1, -1, -1, -1, 1, -1, 
-1, -1, 1, 1, 1, 1, -1, 1, 1, -1, 
1, -1, 1, -1, 1, -1, -1, 1, -1, -1, 
-1, 1, -1, -1, -1, 1, 1, 1, 1, -1, 
-1, 1, 1, 1, -1, -1, 1, 1, 1, -1, 
1, -1, 1, 1, -1, -1, -1, -1, -1, 1, 
1, 1, 1, 1, -1, -1, 1, 1, 1, -1, 
-1, 1, -1, -1, 1, -1, 1, 1, 1, -1, 
-1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 

1, -1, -1, 1, 1, -1, -1, -1, 1, -1, 
1, -1, -1, 1, -1, 1, 1, -1, -1, 1, 
1, 1, 1, -1, 1, 1, 1, 1, -1, -1, 
-1, -1, -1, 1, -1, -1, -1, 1, -1, -1, 
-1, -1, 1, -1, 1, 1, 1, -1, -1, -1, 
1, -1, -1, -1, 1, 1, -1, 1, -1, -1, 
-1, 1, 1, 1, -1, 1, 1, 1, -1, -1, 
-1, 1, -1, -1, 1, -1, -1, 1, 1, 1, 
1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 
1, 1, 1, -1, 1, -1, -1, 1, 1, 1, 

1, 1, 1, -1, 1, -1, -1, -1, 1, 1, 
1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 
1, 1, -1, -1, 1, 1, -1, -1, 1, 1, 
-1, 1, -1, 1, 1, -1, -1, -1, -1, 1, 
-1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 
1, -1, 1, 1, 1, 1, 1, 1, 1, -1, 
1, 1, -1, 1, -1, -1, -1, -1, 1, -1, 
-1, -1, 1, 1, -1, 1, 1, 1, -1, -1, 
1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 
1, 1, -1, -1, 1, -1, -1, 1, 1, 1, 


2
-20
-8
1628383438
